nohup: ignoring input
# ------ training named MSFSegNet-31+51-16-tanh-01111-bs16-lr5.0e-03-BCE-SGD-S1 start ------ #
#S Seg-MIoU increase (0.000000 --> 0.386755).  Saving model ...
####### validation epoch=1 step=250 #######
# train_loss	 0.0784749	 valid_loss	 0.0198574
# current_lr	 0.005000	 init_lr	 0.005000
# Seg-ACC	 0.9895 
# Seg-AP	 0.9652 
# Seg-Dice	 0.8722 
# Seg-FBeta	 0.9399 
# Seg-MIoU	 0.3868 
############################################


#S Seg-MIoU increase (0.386755 --> 0.435819).  Saving model ...
####### validation epoch=2 step=500 #######
# train_loss	 0.0167646	 valid_loss	 0.0112406
# current_lr	 0.004890	 init_lr	 0.005000
# Seg-ACC	 0.9947 
# Seg-AP	 0.9756 
# Seg-Dice	 0.9314 
# Seg-FBeta	 0.9674 
# Seg-MIoU	 0.4358 
############################################


#S Seg-MIoU increase (0.435819 --> 0.451591).  Saving model ...
####### validation epoch=3 step=750 #######
# train_loss	 0.0115526	 valid_loss	 0.0081749
# current_lr	 0.004570	 init_lr	 0.005000
# Seg-ACC	 0.9961 
# Seg-AP	 0.9813 
# Seg-Dice	 0.9491 
# Seg-FBeta	 0.9758 
# Seg-MIoU	 0.4516 
############################################


#S Seg-MIoU increase (0.451591 --> 0.459839).  Saving model ...
####### validation epoch=4 step=1000 #######
# train_loss	 0.0092812	 valid_loss	 0.0066327
# current_lr	 0.004073	 init_lr	 0.005000
# Seg-ACC	 0.9968 
# Seg-AP	 0.9840 
# Seg-Dice	 0.9581 
# Seg-FBeta	 0.9799 
# Seg-MIoU	 0.4598 
#############################################


#S Seg-MIoU increase (0.459839 --> 0.463811).  Saving model ...
####### validation epoch=5 step=1250 #######
# train_loss	 0.0080521	 valid_loss	 0.0057968
# current_lr	 0.003445	 init_lr	 0.005000
# Seg-ACC	 0.9972 
# Seg-AP	 0.9859 
# Seg-Dice	 0.9624 
# Seg-FBeta	 0.9820 
# Seg-MIoU	 0.4638 
#############################################


#S Seg-MIoU increase (0.463811 --> 0.466629).  Saving model ...
####### validation epoch=6 step=1500 #######
# train_loss	 0.0073081	 valid_loss	 0.0052915
# current_lr	 0.002750	 init_lr	 0.005000
# Seg-ACC	 0.9974 
# Seg-AP	 0.9869 
# Seg-Dice	 0.9655 
# Seg-FBeta	 0.9833 
# Seg-MIoU	 0.4666 
#############################################


#S Seg-MIoU increase (0.466629 --> 0.468609).  Saving model ...
####### validation epoch=7 step=1750 #######
# train_loss	 0.0068490	 valid_loss	 0.0049653
# current_lr	 0.002055	 init_lr	 0.005000
# Seg-ACC	 0.9976 
# Seg-AP	 0.9875 
# Seg-Dice	 0.9676 
# Seg-FBeta	 0.9843 
# Seg-MIoU	 0.4686 
#############################################


#S Seg-MIoU increase (0.468609 --> 0.468974).  Saving model ...
####### validation epoch=8 step=2000 #######
# train_loss	 0.0065557	 valid_loss	 0.0047692
# current_lr	 0.001427	 init_lr	 0.005000
# Seg-ACC	 0.9976 
# Seg-AP	 0.9880 
# Seg-Dice	 0.9680 
# Seg-FBeta	 0.9846 
# Seg-MIoU	 0.4690 
#############################################


#S Seg-MIoU increase (0.468974 --> 0.469745).  Saving model ...
####### validation epoch=9 step=2250 #######
# train_loss	 0.0063781	 valid_loss	 0.0046465
# current_lr	 0.000930	 init_lr	 0.005000
# Seg-ACC	 0.9977 
# Seg-AP	 0.9882 
# Seg-Dice	 0.9688 
# Seg-FBeta	 0.9849 
# Seg-MIoU	 0.4697 
#############################################


#S Seg-MIoU increase (0.469745 --> 0.470431).  Saving model ...
####### validation epoch=10 step=2500 #######
# train_loss	 0.0062624	 valid_loss	 0.0045762
# current_lr	 0.000610	 init_lr	 0.005000
# Seg-ACC	 0.9977 
# Seg-AP	 0.9884 
# Seg-Dice	 0.9695 
# Seg-FBeta	 0.9852 
# Seg-MIoU	 0.4704 
##############################################


#S Seg-MIoU increase (0.470431 --> 0.470445).  Saving model ...
####### validation epoch=11 step=2750 #######
# train_loss	 0.0061897	 valid_loss	 0.0045158
# current_lr	 0.000500	 init_lr	 0.005000
# Seg-ACC	 0.9977 
# Seg-AP	 0.9885 
# Seg-Dice	 0.9695 
# Seg-FBeta	 0.9853 
# Seg-MIoU	 0.4704 
##############################################


#S Seg-MIoU increase (0.470445 --> 0.470489).  Saving model ...
####### validation epoch=12 step=3000 #######
# train_loss	 0.0061148	 valid_loss	 0.0044451
# current_lr	 0.000610	 init_lr	 0.005000
# Seg-ACC	 0.9977 
# Seg-AP	 0.9886 
# Seg-Dice	 0.9696 
# Seg-FBeta	 0.9854 
# Seg-MIoU	 0.4705 
##############################################


#S Seg-MIoU increase (0.470489 --> 0.470876).  Saving model ...
####### validation epoch=13 step=3250 #######
# train_loss	 0.0060169	 valid_loss	 0.0043446
# current_lr	 0.000930	 init_lr	 0.005000
# Seg-ACC	 0.9978 
# Seg-AP	 0.9888 
# Seg-Dice	 0.9700 
# Seg-FBeta	 0.9856 
# Seg-MIoU	 0.4709 
##############################################


#S Seg-MIoU increase (0.470876 --> 0.471963).  Saving model ...
####### validation epoch=14 step=3500 #######
# train_loss	 0.0058726	 valid_loss	 0.0042249
# current_lr	 0.001427	 init_lr	 0.005000
# Seg-ACC	 0.9978 
# Seg-AP	 0.9892 
# Seg-Dice	 0.9711 
# Seg-FBeta	 0.9861 
# Seg-MIoU	 0.4720 
##############################################


#S Seg-MIoU increase (0.471963 --> 0.472402).  Saving model ...
####### validation epoch=15 step=3750 #######
# train_loss	 0.0056849	 valid_loss	 0.0040316
# current_lr	 0.002055	 init_lr	 0.005000
# Seg-ACC	 0.9979 
# Seg-AP	 0.9896 
# Seg-Dice	 0.9716 
# Seg-FBeta	 0.9864 
# Seg-MIoU	 0.4724 
##############################################


#S Seg-MIoU increase (0.472402 --> 0.474943).  Saving model ...
####### validation epoch=16 step=4000 #######
# train_loss	 0.0054336	 valid_loss	 0.0037681
# current_lr	 0.002750	 init_lr	 0.005000
# Seg-ACC	 0.9981 
# Seg-AP	 0.9900 
# Seg-Dice	 0.9743 
# Seg-FBeta	 0.9875 
# Seg-MIoU	 0.4749 
##############################################


#S Seg-MIoU increase (0.474943 --> 0.476497).  Saving model ...
####### validation epoch=17 step=4250 #######
# train_loss	 0.0051582	 valid_loss	 0.0035314
# current_lr	 0.003445	 init_lr	 0.005000
# Seg-ACC	 0.9982 
# Seg-AP	 0.9905 
# Seg-Dice	 0.9759 
# Seg-FBeta	 0.9882 
# Seg-MIoU	 0.4765 
##############################################


#S EarlyStopping counter: 1 out of 5
####### validation epoch=18 step=4500 #######
# train_loss	 0.0048594	 valid_loss	 0.0033175
# current_lr	 0.004073	 init_lr	 0.005000
# Seg-ACC	 0.9982 
# Seg-AP	 0.9912 
# Seg-Dice	 0.9756 
# Seg-FBeta	 0.9883 
# Seg-MIoU	 0.4762 
##############################################


#S Seg-MIoU increase (0.476497 --> 0.478785).  Saving model ...
####### validation epoch=19 step=4750 #######
# train_loss	 0.0045649	 valid_loss	 0.0030597
# current_lr	 0.004570	 init_lr	 0.005000
# Seg-ACC	 0.9984 
# Seg-AP	 0.9916 
# Seg-Dice	 0.9783 
# Seg-FBeta	 0.9894 
# Seg-MIoU	 0.4788 
##############################################


#S Seg-MIoU increase (0.478785 --> 0.479235).  Saving model ...
####### validation epoch=20 step=5000 #######
# train_loss	 0.0042918	 valid_loss	 0.0028650
# current_lr	 0.004890	 init_lr	 0.005000
# Seg-ACC	 0.9984 
# Seg-AP	 0.9922 
# Seg-Dice	 0.9788 
# Seg-FBeta	 0.9898 
# Seg-MIoU	 0.4792 
##############################################


#S Seg-MIoU increase (0.479235 --> 0.481418).  Saving model ...
####### validation epoch=21 step=5250 #######
