nohup: ignoring input
# ------ training named MSFSegNet-31+51-32-tanh-01111-bs32-lr1.0e-02-BCE-SGD-S1 start ------ #
#S Seg-MIoU increase (0.000000 --> 0.363805).  Saving model ...
####### validation epoch=1 step=125 #######
# train_loss	 0.1183130	 valid_loss	 0.0207449
# current_lr	 0.010000	 init_lr	 0.010000
# Seg-ACC	 0.9865 
# Seg-AP	 0.9639 
# Seg-Dice	 0.8423 
# Seg-FBeta	 0.9259 
# Seg-MIoU	 0.3638 
############################################


#S Seg-MIoU increase (0.363805 --> 0.423288).  Saving model ...
####### validation epoch=2 step=250 #######
# train_loss	 0.0171597	 valid_loss	 0.0114432
# current_lr	 0.009780	 init_lr	 0.010000
# Seg-ACC	 0.9935 
# Seg-AP	 0.9750 
# Seg-Dice	 0.9169 
# Seg-FBeta	 0.9611 
# Seg-MIoU	 0.4233 
############################################


#S Seg-MIoU increase (0.423288 --> 0.443791).  Saving model ...
####### validation epoch=3 step=375 #######
# train_loss	 0.0118031	 valid_loss	 0.0083588
# current_lr	 0.009141	 init_lr	 0.010000
# Seg-ACC	 0.9954 
# Seg-AP	 0.9803 
# Seg-Dice	 0.9404 
# Seg-FBeta	 0.9719 
# Seg-MIoU	 0.4438 
############################################


#S Seg-MIoU increase (0.443791 --> 0.454356).  Saving model ...
####### validation epoch=4 step=500 #######
# train_loss	 0.0095406	 valid_loss	 0.0068157
# current_lr	 0.008145	 init_lr	 0.010000
# Seg-ACC	 0.9964 
# Seg-AP	 0.9832 
# Seg-Dice	 0.9522 
# Seg-FBeta	 0.9773 
# Seg-MIoU	 0.4544 
############################################


#S Seg-MIoU increase (0.454356 --> 0.458956).  Saving model ...
####### validation epoch=5 step=625 #######
# train_loss	 0.0082974	 valid_loss	 0.0059677
# current_lr	 0.006891	 init_lr	 0.010000
# Seg-ACC	 0.9968 
# Seg-AP	 0.9851 
# Seg-Dice	 0.9572 
# Seg-FBeta	 0.9796 
# Seg-MIoU	 0.4590 
############################################


#S Seg-MIoU increase (0.458956 --> 0.462825).  Saving model ...
####### validation epoch=6 step=750 #######
# train_loss	 0.0075423	 valid_loss	 0.0054463
# current_lr	 0.005500	 init_lr	 0.010000
# Seg-ACC	 0.9971 
# Seg-AP	 0.9862 
# Seg-Dice	 0.9614 
# Seg-FBeta	 0.9815 
# Seg-MIoU	 0.4628 
############################################


#S Seg-MIoU increase (0.462825 --> 0.465113).  Saving model ...
####### validation epoch=7 step=875 #######
# train_loss	 0.0070654	 valid_loss	 0.0051228
# current_lr	 0.004109	 init_lr	 0.010000
# Seg-ACC	 0.9973 
# Seg-AP	 0.9869 
# Seg-Dice	 0.9638 
# Seg-FBeta	 0.9826 
# Seg-MIoU	 0.4651 
############################################


#S Seg-MIoU increase (0.465113 --> 0.466129).  Saving model ...
####### validation epoch=8 step=1000 #######
# train_loss	 0.0067598	 valid_loss	 0.0049109
# current_lr	 0.002855	 init_lr	 0.010000
# Seg-ACC	 0.9974 
# Seg-AP	 0.9875 
# Seg-Dice	 0.9649 
# Seg-FBeta	 0.9831 
# Seg-MIoU	 0.4661 
#############################################


#S Seg-MIoU increase (0.466129 --> 0.466798).  Saving model ...
####### validation epoch=9 step=1125 #######
# train_loss	 0.0065761	 valid_loss	 0.0047868
# current_lr	 0.001859	 init_lr	 0.010000
# Seg-ACC	 0.9974 
# Seg-AP	 0.9877 
# Seg-Dice	 0.9656 
# Seg-FBeta	 0.9835 
# Seg-MIoU	 0.4668 
#############################################


#S Seg-MIoU increase (0.466798 --> 0.467647).  Saving model ...
####### validation epoch=10 step=1250 #######
# train_loss	 0.0064536	 valid_loss	 0.0047095
# current_lr	 0.001220	 init_lr	 0.010000
# Seg-ACC	 0.9975 
# Seg-AP	 0.9879 
# Seg-Dice	 0.9666 
# Seg-FBeta	 0.9839 
# Seg-MIoU	 0.4676 
##############################################


#S Seg-MIoU increase (0.467647 --> 0.467831).  Saving model ...
####### validation epoch=11 step=1375 #######
# train_loss	 0.0063739	 valid_loss	 0.0046450
# current_lr	 0.001000	 init_lr	 0.010000
# Seg-ACC	 0.9975 
# Seg-AP	 0.9880 
# Seg-Dice	 0.9668 
# Seg-FBeta	 0.9840 
# Seg-MIoU	 0.4678 
##############################################


#S Seg-MIoU increase (0.467831 --> 0.467840).  Saving model ...
####### validation epoch=12 step=1500 #######
# train_loss	 0.0062955	 valid_loss	 0.0045767
# current_lr	 0.001220	 init_lr	 0.010000
# Seg-ACC	 0.9975 
# Seg-AP	 0.9881 
# Seg-Dice	 0.9668 
# Seg-FBeta	 0.9840 
# Seg-MIoU	 0.4678 
##############################################


#S Seg-MIoU increase (0.467840 --> 0.468538).  Saving model ...
####### validation epoch=13 step=1625 #######
# train_loss	 0.0061922	 valid_loss	 0.0044674
# current_lr	 0.001859	 init_lr	 0.010000
# Seg-ACC	 0.9976 
# Seg-AP	 0.9884 
# Seg-Dice	 0.9675 
# Seg-FBeta	 0.9844 
# Seg-MIoU	 0.4685 
##############################################


#S Seg-MIoU increase (0.468538 --> 0.469692).  Saving model ...
####### validation epoch=14 step=1750 #######
# train_loss	 0.0060391	 valid_loss	 0.0043322
# current_lr	 0.002855	 init_lr	 0.010000
# Seg-ACC	 0.9977 
# Seg-AP	 0.9888 
# Seg-Dice	 0.9687 
# Seg-FBeta	 0.9849 
# Seg-MIoU	 0.4697 
##############################################


#S Seg-MIoU increase (0.469692 --> 0.470427).  Saving model ...
####### validation epoch=15 step=1875 #######
# train_loss	 0.0058405	 valid_loss	 0.0041263
# current_lr	 0.004109	 init_lr	 0.010000
# Seg-ACC	 0.9977 
# Seg-AP	 0.9892 
# Seg-Dice	 0.9695 
# Seg-FBeta	 0.9853 
# Seg-MIoU	 0.4704 
##############################################


#S Seg-MIoU increase (0.470427 --> 0.473089).  Saving model ...
####### validation epoch=16 step=2000 #######
# train_loss	 0.0055771	 valid_loss	 0.0038622
# current_lr	 0.005500	 init_lr	 0.010000
# Seg-ACC	 0.9979 
# Seg-AP	 0.9897 
# Seg-Dice	 0.9723 
# Seg-FBeta	 0.9865 
# Seg-MIoU	 0.4731 
##############################################


#S Seg-MIoU increase (0.473089 --> 0.474963).  Saving model ...
####### validation epoch=17 step=2125 #######
# train_loss	 0.0052796	 valid_loss	 0.0035927
# current_lr	 0.006891	 init_lr	 0.010000
# Seg-ACC	 0.9981 
# Seg-AP	 0.9903 
# Seg-Dice	 0.9743 
# Seg-FBeta	 0.9874 
# Seg-MIoU	 0.4750 
##############################################


