nohup: ignoring input
# ------ training named MSFSegNet-31+51-16-tanh-01111-bs32-lr1.0e-03-BCE-SGD-S1 start ------ #
#S Seg-MIoU increase (0.000000 --> 0.026276).  Saving model ...
####### validation epoch=1 step=125 #######
# train_loss	 0.2911807	 valid_loss	 0.1442641
# current_lr	 0.001000	 init_lr	 0.001000
# Seg-ACC	 0.3478 
# Seg-AP	 0.8637 
# Seg-Dice	 0.0999 
# Seg-FBeta	 0.2170 
# Seg-MIoU	 0.0263 
############################################


#S Seg-MIoU increase (0.026276 --> 0.133444).  Saving model ...
####### validation epoch=2 step=250 #######
# train_loss	 0.1076914	 valid_loss	 0.0815380
# current_lr	 0.000978	 init_lr	 0.001000
# Seg-ACC	 0.9009 
# Seg-AP	 0.9257 
# Seg-Dice	 0.4213 
# Seg-FBeta	 0.6442 
# Seg-MIoU	 0.1334 
############################################


#S Seg-MIoU increase (0.133444 --> 0.233213).  Saving model ...
####### validation epoch=3 step=375 #######
# train_loss	 0.0703301	 valid_loss	 0.0588022
# current_lr	 0.000914	 init_lr	 0.001000
# Seg-ACC	 0.9588 
# Seg-AP	 0.9413 
# Seg-Dice	 0.6361 
# Seg-FBeta	 0.8113 
# Seg-MIoU	 0.2332 
############################################


#S Seg-MIoU increase (0.233213 --> 0.283460).  Saving model ...
####### validation epoch=4 step=500 #######
# train_loss	 0.0543754	 valid_loss	 0.0473252
# current_lr	 0.000815	 init_lr	 0.001000
# Seg-ACC	 0.9725 
# Seg-AP	 0.9488 
# Seg-Dice	 0.7236 
# Seg-FBeta	 0.8642 
# Seg-MIoU	 0.2835 
############################################


#S Seg-MIoU increase (0.283460 --> 0.310167).  Saving model ...
####### validation epoch=5 step=625 #######
# train_loss	 0.0457608	 valid_loss	 0.0407158
# current_lr	 0.000689	 init_lr	 0.001000
# Seg-ACC	 0.9780 
# Seg-AP	 0.9527 
# Seg-Dice	 0.7656 
# Seg-FBeta	 0.8872 
# Seg-MIoU	 0.3102 
############################################


#S Seg-MIoU increase (0.310167 --> 0.323139).  Saving model ...
####### validation epoch=6 step=750 #######
# train_loss	 0.0406312	 valid_loss	 0.0367700
# current_lr	 0.000550	 init_lr	 0.001000
# Seg-ACC	 0.9803 
# Seg-AP	 0.9555 
# Seg-Dice	 0.7851 
# Seg-FBeta	 0.8974 
# Seg-MIoU	 0.3231 
############################################


#S Seg-MIoU increase (0.323139 --> 0.332976).  Saving model ...
####### validation epoch=7 step=875 #######
# train_loss	 0.0374618	 valid_loss	 0.0342338
# current_lr	 0.000411	 init_lr	 0.001000
# Seg-ACC	 0.9820 
# Seg-AP	 0.9572 
# Seg-Dice	 0.7995 
# Seg-FBeta	 0.9048 
# Seg-MIoU	 0.3330 
############################################


#S Seg-MIoU increase (0.332976 --> 0.339646).  Saving model ...
####### validation epoch=8 step=1000 #######
# train_loss	 0.0354844	 valid_loss	 0.0326319
# current_lr	 0.000285	 init_lr	 0.001000
# Seg-ACC	 0.9830 
# Seg-AP	 0.9582 
# Seg-Dice	 0.8090 
# Seg-FBeta	 0.9095 
# Seg-MIoU	 0.3396 
#############################################


#S Seg-MIoU increase (0.339646 --> 0.341977).  Saving model ...
####### validation epoch=9 step=1125 #######
# train_loss	 0.0342900	 valid_loss	 0.0317664
# current_lr	 0.000186	 init_lr	 0.001000
# Seg-ACC	 0.9834 
# Seg-AP	 0.9588 
# Seg-Dice	 0.8123 
# Seg-FBeta	 0.9112 
# Seg-MIoU	 0.3420 
#############################################


#S Seg-MIoU increase (0.341977 --> 0.344633).  Saving model ...
####### validation epoch=10 step=1250 #######
# train_loss	 0.0335417	 valid_loss	 0.0311669
# current_lr	 0.000122	 init_lr	 0.001000
# Seg-ACC	 0.9838 
# Seg-AP	 0.9592 
# Seg-Dice	 0.8160 
# Seg-FBeta	 0.9131 
# Seg-MIoU	 0.3446 
##############################################


#S Seg-MIoU increase (0.344633 --> 0.345174).  Saving model ...
####### validation epoch=11 step=1375 #######
# train_loss	 0.0330314	 valid_loss	 0.0307435
# current_lr	 0.000100	 init_lr	 0.001000
# Seg-ACC	 0.9839 
# Seg-AP	 0.9596 
# Seg-Dice	 0.8168 
# Seg-FBeta	 0.9135 
# Seg-MIoU	 0.3452 
##############################################


#S Seg-MIoU increase (0.345174 --> 0.346643).  Saving model ...
####### validation epoch=12 step=1500 #######
# train_loss	 0.0325403	 valid_loss	 0.0302203
# current_lr	 0.000122	 init_lr	 0.001000
# Seg-ACC	 0.9841 
# Seg-AP	 0.9600 
# Seg-Dice	 0.8188 
# Seg-FBeta	 0.9145 
# Seg-MIoU	 0.3466 
##############################################


#S Seg-MIoU increase (0.346643 --> 0.350977).  Saving model ...
####### validation epoch=13 step=1625 #######
# train_loss	 0.0318938	 valid_loss	 0.0293678
# current_lr	 0.000186	 init_lr	 0.001000
# Seg-ACC	 0.9847 
# Seg-AP	 0.9606 
# Seg-Dice	 0.8249 
# Seg-FBeta	 0.9174 
# Seg-MIoU	 0.3510 
##############################################


#S Seg-MIoU increase (0.350977 --> 0.353050).  Saving model ...
####### validation epoch=14 step=1750 #######
# train_loss	 0.0309511	 valid_loss	 0.0283941
