nohup: ignoring input
# ------ training named MSFSegNet-31+51-32-tanh-01111-bs16-lr2.0e-03-BCE-SGD-S1 start ------ #
#S Seg-MIoU increase (0.000000 --> 0.241506).  Saving model ...
####### validation epoch=1 step=250 #######
# train_loss	 0.1869654	 valid_loss	 0.0507651
# current_lr	 0.002000	 init_lr	 0.002000
# Seg-ACC	 0.9614 
# Seg-AP	 0.9452 
# Seg-Dice	 0.6513 
# Seg-FBeta	 0.8211 
# Seg-MIoU	 0.2415 
############################################


#S Seg-MIoU increase (0.241506 --> 0.350316).  Saving model ...
####### validation epoch=2 step=500 #######
# train_loss	 0.0377607	 valid_loss	 0.0258414
# current_lr	 0.001956	 init_lr	 0.002000
# Seg-ACC	 0.9846 
# Seg-AP	 0.9630 
# Seg-Dice	 0.8239 
# Seg-FBeta	 0.9174 
# Seg-MIoU	 0.3503 
############################################


#S Seg-MIoU increase (0.350316 --> 0.391886).  Saving model ...
####### validation epoch=3 step=750 #######
# train_loss	 0.0237232	 valid_loss	 0.0180765
# current_lr	 0.001828	 init_lr	 0.002000
# Seg-ACC	 0.9901 
# Seg-AP	 0.9688 
# Seg-Dice	 0.8787 
# Seg-FBeta	 0.9437 
# Seg-MIoU	 0.3919 
############################################


#S Seg-MIoU increase (0.391886 --> 0.415334).  Saving model ...
####### validation epoch=4 step=1000 #######
# train_loss	 0.0183585	 valid_loss	 0.0145099
# current_lr	 0.001629	 init_lr	 0.002000
# Seg-ACC	 0.9926 
# Seg-AP	 0.9718 
# Seg-Dice	 0.9075 
# Seg-FBeta	 0.9568 
# Seg-MIoU	 0.4153 
#############################################


#S Seg-MIoU increase (0.415334 --> 0.426665).  Saving model ...
####### validation epoch=5 step=1250 #######
# train_loss	 0.0156333	 valid_loss	 0.0125059
# current_lr	 0.001378	 init_lr	 0.002000
# Seg-ACC	 0.9938 
# Seg-AP	 0.9740 
# Seg-Dice	 0.9208 
# Seg-FBeta	 0.9628 
# Seg-MIoU	 0.4267 
#############################################


#S Seg-MIoU increase (0.426665 --> 0.432861).  Saving model ...
####### validation epoch=6 step=1500 #######
# train_loss	 0.0140490	 valid_loss	 0.0113520
# current_lr	 0.001100	 init_lr	 0.002000
# Seg-ACC	 0.9944 
# Seg-AP	 0.9754 
# Seg-Dice	 0.9280 
# Seg-FBeta	 0.9661 
# Seg-MIoU	 0.4329 
#############################################


#S Seg-MIoU increase (0.432861 --> 0.437557).  Saving model ...
####### validation epoch=7 step=1750 #######
# train_loss	 0.0130894	 valid_loss	 0.0106223
# current_lr	 0.000822	 init_lr	 0.002000
# Seg-ACC	 0.9948 
# Seg-AP	 0.9764 
# Seg-Dice	 0.9334 
# Seg-FBeta	 0.9685 
# Seg-MIoU	 0.4376 
#############################################


#S Seg-MIoU increase (0.437557 --> 0.440472).  Saving model ...
####### validation epoch=8 step=2000 #######
# train_loss	 0.0124892	 valid_loss	 0.0101534
# current_lr	 0.000571	 init_lr	 0.002000
# Seg-ACC	 0.9951 
# Seg-AP	 0.9770 
# Seg-Dice	 0.9367 
# Seg-FBeta	 0.9699 
# Seg-MIoU	 0.4405 
#############################################


#S Seg-MIoU increase (0.440472 --> 0.441169).  Saving model ...
####### validation epoch=9 step=2250 #######
# train_loss	 0.0121296	 valid_loss	 0.0099090
# current_lr	 0.000372	 init_lr	 0.002000
# Seg-ACC	 0.9952 
# Seg-AP	 0.9775 
# Seg-Dice	 0.9375 
# Seg-FBeta	 0.9704 
# Seg-MIoU	 0.4412 
#############################################


#S Seg-MIoU increase (0.441169 --> 0.442276).  Saving model ...
####### validation epoch=10 step=2500 #######
# train_loss	 0.0118969	 valid_loss	 0.0097471
# current_lr	 0.000244	 init_lr	 0.002000
# Seg-ACC	 0.9953 
# Seg-AP	 0.9778 
# Seg-Dice	 0.9387 
# Seg-FBeta	 0.9709 
# Seg-MIoU	 0.4423 
##############################################


#S Seg-MIoU increase (0.442276 --> 0.442604).  Saving model ...
####### validation epoch=11 step=2750 #######
# train_loss	 0.0117480	 valid_loss	 0.0096156
# current_lr	 0.000200	 init_lr	 0.002000
# Seg-ACC	 0.9953 
# Seg-AP	 0.9779 
# Seg-Dice	 0.9391 
# Seg-FBeta	 0.9711 
# Seg-MIoU	 0.4426 
##############################################


#S Seg-MIoU increase (0.442604 --> 0.442897).  Saving model ...
####### validation epoch=12 step=3000 #######
# train_loss	 0.0115935	 valid_loss	 0.0094600
# current_lr	 0.000244	 init_lr	 0.002000
# Seg-ACC	 0.9953 
