nohup: ignoring input
# ------ training named MSFSegNet-31+51-32-tanh-01111-bs8-lr1.0e-04-BCE-SGD-S1 start ------ #
#S Seg-MIoU increase (0.000000 --> 0.018100).  Saving model ...
####### validation epoch=1 step=500 #######
# train_loss	 0.5909809	 valid_loss	 0.3824690
# current_lr	 0.000100	 init_lr	 0.000100
# Seg-ACC	 0.0362 
# Seg-AP	 0.5947 
# Seg-Dice	 0.0699 
# Seg-FBeta	 0.1580 
# Seg-MIoU	 0.0181 
############################################


#S Seg-MIoU increase (0.018100 --> 0.018223).  Saving model ...
####### validation epoch=2 step=1000 #######
# train_loss	 0.2959035	 valid_loss	 0.2310463
# current_lr	 0.000098	 init_lr	 0.000100
# Seg-ACC	 0.0429 
# Seg-AP	 0.7428 
# Seg-Dice	 0.0703 
# Seg-FBeta	 0.1589 
# Seg-MIoU	 0.0182 
#############################################


#S Seg-MIoU increase (0.018223 --> 0.019950).  Saving model ...
####### validation epoch=3 step=1500 #######
# train_loss	 0.1986629	 valid_loss	 0.1685608
# current_lr	 0.000091	 init_lr	 0.000100
# Seg-ACC	 0.1288 
# Seg-AP	 0.8142 
# Seg-Dice	 0.0767 
# Seg-FBeta	 0.1719 
# Seg-MIoU	 0.0199 
#############################################


#S Seg-MIoU increase (0.019950 --> 0.048273).  Saving model ...
####### validation epoch=4 step=2000 #######
# train_loss	 0.1527059	 valid_loss	 0.1357822
# current_lr	 0.000081	 init_lr	 0.000100
# Seg-ACC	 0.6611 
# Seg-AP	 0.8629 
# Seg-Dice	 0.1760 
# Seg-FBeta	 0.3479 
# Seg-MIoU	 0.0483 
#############################################


#S Seg-MIoU increase (0.048273 --> 0.067054).  Saving model ...
####### validation epoch=5 step=2500 #######
# train_loss	 0.1268308	 valid_loss	 0.1155787
# current_lr	 0.000069	 init_lr	 0.000100
# Seg-ACC	 0.7660 
# Seg-AP	 0.8885 
# Seg-Dice	 0.2364 
# Seg-FBeta	 0.4358 
# Seg-MIoU	 0.0671 
#############################################


#S Seg-MIoU increase (0.067054 --> 0.082413).  Saving model ...
####### validation epoch=6 step=3000 #######
# train_loss	 0.1111220	 valid_loss	 0.1031516
# current_lr	 0.000055	 init_lr	 0.000100
# Seg-ACC	 0.8164 
# Seg-AP	 0.9043 
# Seg-Dice	 0.2828 
# Seg-FBeta	 0.4958 
# Seg-MIoU	 0.0824 
#############################################


#S Seg-MIoU increase (0.082413 --> 0.095546).  Saving model ...
####### validation epoch=7 step=3500 #######
# train_loss	 0.1012709	 valid_loss	 0.0953517
# current_lr	 0.000041	 init_lr	 0.000100
# Seg-ACC	 0.8466 
# Seg-AP	 0.9125 
# Seg-Dice	 0.3206 
# Seg-FBeta	 0.5405 
# Seg-MIoU	 0.0955 
#############################################


#S Seg-MIoU increase (0.095546 --> 0.109718).  Saving model ...
####### validation epoch=8 step=4000 #######
# train_loss	 0.0951248	 valid_loss	 0.0908430
# current_lr	 0.000029	 init_lr	 0.000100
# Seg-ACC	 0.8712 
# Seg-AP	 0.9186 
# Seg-Dice	 0.3596 
# Seg-FBeta	 0.5831 
# Seg-MIoU	 0.1097 
#############################################


#S Seg-MIoU increase (0.109718 --> 0.112629).  Saving model ...
####### validation epoch=9 step=4500 #######
# train_loss	 0.0914018	 valid_loss	 0.0878461
# current_lr	 0.000019	 init_lr	 0.000100
# Seg-ACC	 0.8754 
# Seg-AP	 0.9210 
# Seg-Dice	 0.3674 
# Seg-FBeta	 0.5912 
# Seg-MIoU	 0.1126 
#############################################


#S Seg-MIoU increase (0.112629 --> 0.115649).  Saving model ...
####### validation epoch=10 step=5000 #######
# train_loss	 0.0890722	 valid_loss	 0.0860279
# current_lr	 0.000012	 init_lr	 0.000100
# Seg-ACC	 0.8797 
# Seg-AP	 0.9221 
# Seg-Dice	 0.3754 
# Seg-FBeta	 0.5994 
# Seg-MIoU	 0.1156 
##############################################


#S Seg-MIoU increase (0.115649 --> 0.122983).  Saving model ...
####### validation epoch=11 step=5500 #######
# train_loss	 0.0874937	 valid_loss	 0.0847345
# current_lr	 0.000010	 init_lr	 0.000100
# Seg-ACC	 0.8890 
# Seg-AP	 0.9249 
# Seg-Dice	 0.3945 
# Seg-FBeta	 0.6186 
# Seg-MIoU	 0.1230 
##############################################


#S Seg-MIoU increase (0.122983 --> 0.125844).  Saving model ...
####### validation epoch=12 step=6000 #######
# train_loss	 0.0859252	 valid_loss	 0.0830559
# current_lr	 0.000012	 init_lr	 0.000100
# Seg-ACC	 0.8924 
# Seg-AP	 0.9264 
# Seg-Dice	 0.4019 
# Seg-FBeta	 0.6257 
# Seg-MIoU	 0.1258 
##############################################


#S Seg-MIoU increase (0.125844 --> 0.133365).  Saving model ...
####### validation epoch=13 step=6500 #######
# train_loss	 0.0839105	 valid_loss	 0.0805860
# current_lr	 0.000019	 init_lr	 0.000100
# Seg-ACC	 0.9005 
# Seg-AP	 0.9287 
# Seg-Dice	 0.4208 
# Seg-FBeta	 0.6438 
# Seg-MIoU	 0.1334 
##############################################


#S Seg-MIoU increase (0.133365 --> 0.139573).  Saving model ...
####### validation epoch=14 step=7000 #######
# train_loss	 0.0809622	 valid_loss	 0.0768917
# current_lr	 0.000029	 init_lr	 0.000100
# Seg-ACC	 0.9065 
# Seg-AP	 0.9307 
# Seg-Dice	 0.4361 
# Seg-FBeta	 0.6579 
# Seg-MIoU	 0.1396 
##############################################


#S Seg-MIoU increase (0.139573 --> 0.154888).  Saving model ...
####### validation epoch=15 step=7500 #######
# train_loss	 0.0769414	 valid_loss	 0.0723704
# current_lr	 0.000041	 init_lr	 0.000100
# Seg-ACC	 0.9194 
# Seg-AP	 0.9353 
# Seg-Dice	 0.4727 
# Seg-FBeta	 0.6900 
# Seg-MIoU	 0.1549 
##############################################


#S Seg-MIoU increase (0.154888 --> 0.179546).  Saving model ...
####### validation epoch=16 step=8000 #######
# train_loss	 0.0720077	 valid_loss	 0.0672296
# current_lr	 0.000055	 init_lr	 0.000100
# Seg-ACC	 0.9355 
# Seg-AP	 0.9392 
# Seg-Dice	 0.5281 
# Seg-FBeta	 0.7351 
# Seg-MIoU	 0.1795 
##############################################


#S Seg-MIoU increase (0.179546 --> 0.196140).  Saving model ...
####### validation epoch=17 step=8500 #######
# train_loss	 0.0664845	 valid_loss	 0.0613102
# current_lr	 0.000069	 init_lr	 0.000100
# Seg-ACC	 0.9440 
# Seg-AP	 0.9422 
# Seg-Dice	 0.5632 
# Seg-FBeta	 0.7614 
# Seg-MIoU	 0.1961 
##############################################


#S Seg-MIoU increase (0.196140 --> 0.224276).  Saving model ...
####### validation epoch=18 step=9000 #######
# train_loss	 0.0607853	 valid_loss	 0.0557860
# current_lr	 0.000081	 init_lr	 0.000100
# Seg-ACC	 0.9556 
# Seg-AP	 0.9467 
# Seg-Dice	 0.6190 
# Seg-FBeta	 0.8003 
# Seg-MIoU	 0.2243 
##############################################


#S Seg-MIoU increase (0.224276 --> 0.247356).  Saving model ...
####### validation epoch=19 step=9500 #######
# train_loss	 0.0553279	 valid_loss	 0.0504795
# current_lr	 0.000091	 init_lr	 0.000100
# Seg-ACC	 0.9632 
# Seg-AP	 0.9494 
# Seg-Dice	 0.6617 
# Seg-FBeta	 0.8278 
# Seg-MIoU	 0.2474 
##############################################


#S Seg-MIoU increase (0.247356 --> 0.269207).  Saving model ...
####### validation epoch=20 step=10000 #######
# train_loss	 0.0504988	 valid_loss	 0.0459135
# current_lr	 0.000098	 init_lr	 0.000100
# Seg-ACC	 0.9691 
# Seg-AP	 0.9524 
# Seg-Dice	 0.6997 
# Seg-FBeta	 0.8508 
# Seg-MIoU	 0.2692 
###############################################


#S Seg-MIoU increase (0.269207 --> 0.289162).  Saving model ...
####### validation epoch=21 step=10500 #######
# train_loss	 0.0462769	 valid_loss	 0.0419916
# current_lr	 0.000100	 init_lr	 0.000100
# Seg-ACC	 0.9737 
# Seg-AP	 0.9548 
# Seg-Dice	 0.7326 
# Seg-FBeta	 0.8696 
# Seg-MIoU	 0.2892 
###############################################


#S Seg-MIoU increase (0.289162 --> 0.301392).  Saving model ...
####### validation epoch=22 step=11000 #######
# train_loss	 0.0427120	 valid_loss	 0.0387827
# current_lr	 0.000098	 init_lr	 0.000100
# Seg-ACC	 0.9762 
# Seg-AP	 0.9568 
# Seg-Dice	 0.7520 
# Seg-FBeta	 0.8803 
# Seg-MIoU	 0.3014 
###############################################


#S Seg-MIoU increase (0.301392 --> 0.311515).  Saving model ...
####### validation epoch=23 step=11500 #######
# train_loss	 0.0398467	 valid_loss	 0.0362226
# current_lr	 0.000091	 init_lr	 0.000100
# Seg-ACC	 0.9782 
# Seg-AP	 0.9584 
# Seg-Dice	 0.7676 
# Seg-FBeta	 0.8887 
# Seg-MIoU	 0.3115 
###############################################


#S Seg-MIoU increase (0.311515 --> 0.321330).  Saving model ...
####### validation epoch=24 step=12000 #######
# train_loss	 0.0375767	 valid_loss	 0.0342521
# current_lr	 0.000081	 init_lr	 0.000100
# Seg-ACC	 0.9799 
# Seg-AP	 0.9597 
# Seg-Dice	 0.7823 
# Seg-FBeta	 0.8964 
# Seg-MIoU	 0.3213 
###############################################


#S Seg-MIoU increase (0.321330 --> 0.327145).  Saving model ...
####### validation epoch=25 step=12500 #######
# train_loss	 0.0358220	 valid_loss	 0.0326486
# current_lr	 0.000069	 init_lr	 0.000100
# Seg-ACC	 0.9809 
# Seg-AP	 0.9604 
# Seg-Dice	 0.7909 
# Seg-FBeta	 0.9009 
# Seg-MIoU	 0.3271 
###############################################


#S Seg-MIoU increase (0.327145 --> 0.332370).  Saving model ...
####### validation epoch=26 step=13000 #######
# train_loss	 0.0345070	 valid_loss	 0.0315329
# current_lr	 0.000055	 init_lr	 0.000100
# Seg-ACC	 0.9818 
# Seg-AP	 0.9612 
# Seg-Dice	 0.7985 
# Seg-FBeta	 0.9048 
# Seg-MIoU	 0.3324 
###############################################


#S Seg-MIoU increase (0.332370 --> 0.335836).  Saving model ...
####### validation epoch=27 step=13500 #######
# train_loss	 0.0335545	 valid_loss	 0.0307764
# current_lr	 0.000041	 init_lr	 0.000100
# Seg-ACC	 0.9824 
# Seg-AP	 0.9617 
# Seg-Dice	 0.8035 
# Seg-FBeta	 0.9073 
# Seg-MIoU	 0.3358 
###############################################


#S Seg-MIoU increase (0.335836 --> 0.340208).  Saving model ...
